project,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-5,5,esm2,-85.7223794329281,-109.602454379307,1.52256896087479,standard,75-100 cm,85.7-109.6 cm
Illinois,fd,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-5,5,fd,-75,-100,19.525142943285,standard,75-100 cm,75-100 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-1,1,esm1,0,-12.7,38.51275749249,standard,0-10 cm,0-12.7 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-1,1,esm2,0,-12.7409208105605,39.346662822797,standard,0-10 cm,0-12.7 cm
Illinois,fd,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-1,1,fd,0,-10,30.338691775506497,standard,0-10 cm,0-10 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-2,2,esm1,-12.7,-34.2,56.2158970008416,standard,10-30 cm,12.7-34.2 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-2,2,esm2,-12.7409208105605,-34.3940851962075,57.72171598425,standard,10-30 cm,12.7-34.4 cm
Illinois,fd,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-2,2,fd,-10,-30,56.666200540343,standard,10-30 cm,10-30 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-3,3,esm1,-34.2,-54.5,31.9491741409037,standard,30-50 cm,34.2-54.5 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-3,3,esm2,-34.3940851962075,-54.346895890451,31.9451138094632,standard,30-50 cm,34.4-54.3 cm
Illinois,fd,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-3,3,fd,-30,-50,36.779819892774,standard,30-50 cm,30-50 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-4,4,esm1,-54.5,-82.1,17.7444474104195,standard,50-75 cm,54.5-82.1 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-4,4,esm2,-54.346895890451,-80.9908485069682,18.6334078954452,standard,50-75 cm,54.3-81 cm
Illinois,fd,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-4,4,fd,-50,-75,16.0728690311775,standard,50-75 cm,50-75 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-5,5,esm1,-82.1,-109.6,17.6801559342948,standard,75-100 cm,82.1-109.6 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-5,5,esm2,-80.9908485069682,-111.320185482336,14.391837047944,standard,75-100 cm,81-111.3 cm
Illinois,fd,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-5,5,fd,-75,-100,16.0728690311775,standard,75-100 cm,75-100 cm
Illinois,max,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-1,1,esm1,0,-12.1,42.3384895521391,standard,0-10 cm,0-12.1 cm
Illinois,max,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-1,1,esm2,0,-11.9795270326808,43.4352932861191,standard,0-10 cm,0-12 cm
Illinois,fd,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-1,1,fd,0,-10,35.459484338203005,standard,0-10 cm,0-10 cm
Illinois,max,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-2,2,esm1,-12.1,-33.2,60.4306570637495,standard,10-30 cm,12.1-33.2 cm
