project,dsp_pedon_id,dsp_plot_id,label,trt,explanation,lu,till,soil,suborder,soil_sampled_name,pedon_x,pedon_y,map,mat
KansasState,KeN1-1,KeN1,Ref,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",RANGE,Perennial,Keith,Ustolls,Keith,-100.56165,39.249205,549.692016601562,11.2898998260498
KansasState,KeN1-2,KeN1,Ref,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",RANGE,Perennial,Keith,Ustolls,Keith,-100.56165,39.249205,549.692016601562,11.2898998260498
KansasState,KeN1-3,KeN1,Ref,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",RANGE,Perennial,Keith,Ustolls,Keith,-100.56165,39.249205,549.692016601562,11.2898998260498
KansasState,KeC1-1,KeC1,BAU,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",CROP,Till,Keith,Ustolls,Keith,-100.557271,39.244626,549.925964355469,11.2898998260498
KansasState,KeC1-2,KeC1,BAU,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",CROP,Till,Keith,Ustolls,Keith,-100.557271,39.244626,549.925964355469,11.2898998260498
KansasState,KeC1-3,KeC1,BAU,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",CROP,Till,Keith,Ustolls,Keith,-100.557271,39.244626,549.925964355469,11.2898998260498
KansasState,KeC2-1,KeC2,BAU,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",CROP,Till,Keith,Ustolls,Keith,-101.0631493,39.3817794,521.028015136719,11.0500001907349
KansasState,KeC2-2,KeC2,BAU,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",CROP,Till,Keith,Ustolls,Keith,-101.0632519,39.3815262,521.028015136719,11.0500001907349
KansasState,KeC2-3,KeC2,BAU,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",CROP,Till,Keith,Ustolls,Keith,-101.0632519,39.3815262,NA,NA
KansasState,KeN2-1,KeN2,Ref,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",RANGE,Perennial,Keith,Ustolls,Keith,-101.0636022,39.3843208,521.028015136719,11.0500001907349
KansasState,KeN2-2,KeN2,Ref,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",RANGE,Perennial,Keith,Ustolls,Keith,-101.0636425,39.3840397,521.028015136719,11.0500001907349
KansasState,KeN2-3,KeN2,Ref,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",RANGE,Perennial,Keith,Ustolls,Keith,-101.063449,39.384217,521.028015136719,11.0500001907349
NCState,CeC1-2,CeC1,BAU,wheat - 1,corn,CROP,Till,Cecil,Udults,Cecil,-78.68135,35.73571,1223.04284667969,15.789999961853
NCState,CeC1-3,CeC1,BAU,wheat - 1,corn,CROP,Till,Cecil,Udults,Cecil,-78.68177,35.73594,1223.04284667969,15.789999961853
NCState,CeC1-1,CeC1,BAU,wheat - 1,corn,CROP,Till,Cecil,Udults,Cecil,-78.6893,35.73547,1223.27893066406,15.7299995422363
NCState,CeC2-1,CeC2,BAU,wheat - 2,corn,CROP,Till,Cecil,Udults,Cecil,-78.67495,35.72791,1223.13793945312,15.7299995422363
