project,ref_stat,ref_data,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soil_mass_cum,soc_cum,soil_mass,soc,esm_depth,actual_depth
Illinois,mean,project,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-1,1,esm1,0,-5.1,526.20315354,13.5907707083679,526.20315354,13.5907707083679,0-5 cm,0-5.1 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-1,1,esm2,0,-5.23274673372993,540.267693133333,13.9729695372426,540.267693133333,13.9729695372426,0-5 cm,0-5.2 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-2,2,esm1,-5.1,-9.7,1288.40151238,34.1205835037233,762.19835884,20.5298127953554,5-10 cm,5.1-9.7 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-2,2,esm2,-5.23274673372993,-9.75848987900033,1295.1535669,34.3642882026607,754.885873766667,20.3913186654181,5-10 cm,5.2-9.8 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-3,3,esm1,-9.7,-29.4,4390.72166119999,96.1049533800708,3102.32014881999,61.9843698763475,10-30 cm,9.7-29.4 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-3,3,esm2,-9.75848987900033,-29.423576442676602,4392.41666656667,96.3643796654559,3097.26309966667,62.0000914627952,10-30 cm,9.8-29.4 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-4,4,esm1,-29.4,-59,9100.08846759997,136.119851308886,4709.36680639997,40.014897928815,30-60 cm,29.4-59 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-001,IL-115-SW-WDFLD-001-4,4,esm2,-29.423576442676602,-59.387549626765,9115.32344960175,134.541799476278,4722.90678303509,38.1774198108221,30-60 cm,29.4-59.4 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-002,IL-115-SW-WDFLD-002-1,1,esm1,0,-5.5,538.85645545,16.1980507295633,538.85645545,16.1980507295633,0-5 cm,0-5.5 cm
Illinois,mean,project,BAU,IL-115-SW-WDFLD-002,IL-115-SW-WDFLD-002-1,1,esm2,0,-5.64390378688025,540.267693133333,16.4753064055271,540.267693133333,16.4753064055271,0-5 cm,0-5.6 cm
